Tourist Arrival by:,2016,2017,% Change
Air,572563,760577,32.8
Land,180439,179641,-0.4
Total,753002,940218,25
Average Length of Stay,13.4,12.6,-6
Male,399091,509598,27.7
Female,353911,430620,21.7
By Age groups:,,,
0-15 years,29825,35332,18.5
16-30 years,154960,217143,40.1
31-45 years,218479,292827,34
46-60 years,199139,244342,22.7
61+ years,130627,141316,8.2
Not Specified,19972,9258,
Top Five Country of Nationality:,,,
Rank 1,India,India,
Rank 2,China,China,
Rank 3,Srilanka,USA,
Rank 4,USA,United Kingdom,
Rank 5,United Kingdom,Srilanka,
Purpose of Visit:,,,
Holiday/Pleasure,489452,658153,34.5
Pilgrimage,82830,141033,70.3
Trekking & Mountaineering,66490,75217,13.1
Official,21310,N/A,N/A
Business,24322,N/A,N/A
Conference/Conv.,12801,N/A,N/A
Others,55797,65815,18
