province,number of nets,total
Province 1,NONE,500
Province 1,ONE,266
Province 1,TWO_TO_THREE,793
Province 1,FOUR_OR_MORE,445
Province 2,NONE,74
Province 2,ONE,400
Province 2,TWO_TO_THREE,1127
Province 2,FOUR_OR_MORE,413
Province 3,NONE,808
Province 3,ONE,459
Province 3,TWO_TO_THREE,966
Province 3,FOUR_OR_MORE,288
Province 4,NONE,325
Province 4,ONE,185
Province 4,TWO_TO_THREE,458
Province 4,FOUR_OR_MORE,205
Province 5,NONE,301
Province 5,ONE,245
Province 5,TWO_TO_THREE,846
Province 5,FOUR_OR_MORE,401
Province 6,NONE,355
Province 6,ONE,85
Province 6,TWO_TO_THREE,141
Province 6,FOUR_OR_MORE,37
Province 7,NONE,386
Province 7,ONE,111
Province 7,TWO_TO_THREE,300
Province 7,FOUR_OR_MORE,118
