DISTRICT,SHEEPS NO.,SHEEP WOOL PRODUCED
TAPLEJUNG,5777,3519
SANKHUWASHAVA,12181,9050
SOLUKHUMBU,8461,6286
E.MOUNTAIN,26419,18855
PANCHTHAR,1338,994
ILLAM,160,118
TERHATHUM,7083,5262
DHANKUTA,577,324
BHOJPUR,18210,13530
KHOTANG,9156,5925
OKHALDHUNGA,9105,6756
UDAYAPUR,609,452
E.HILLS,46238,33361
JHAPA,36,13
MORANG,490,364
SUNSARI,3658,3152
SAPTARI,2033,1510
SIRAHA,941,747
E.TERAI,7158,5786
E.REGION,79815,58002
DOLAKHA,11809,8774
SINDHUPALCHOK,7956,5911
RASUWA,5335,3964
C.MOUNTAIN,25100,18649
RAMECHAP,3763,2795
SINDHULI,315,234
KAVRE,3746,2783
BHAKTAPUR,2588,1922
LALITPUR,2164,1607
KATHMANDU,3075,2284
NUWAKOT,19741,14667
DHADING,8807,6543
MAKWANPUR,52,39
C.HILLS,44251,32874
DHANUSHA,650,482
MAHOTTARI,641,476
SARLAHI,1187,881
RAUTAHAT,917,681
BARA,336,249
PARSA,144,106
CHITWAN,3900,2897
C.TERAI,7775,5772
C.REGION,77126,57295
MANANG,5693,4354
MUSTANG,6564,4877
W.MOUNTAIN,12257,9231
GORKHA,29760,22111
LAMJUNG,15961,11859
TANAHU,548,407
KASKI,16417,12197
PARBAT,5491,4079
SYANGJA,2401,1580
PALPA,2654,1971
MYAGDI,9978,7411
BAGLUNG,6851,5090
GULMI,6942,5157
ARGHAKHANCHI,496,369
W.HILLS,97499,72231
NAWALPARASI,11128,5837
RUPANDEHI,4525,2512
KAPILBASTU,18680,11920
W.TERAI,34333,20269
W.REGION,144089,101731
DOLPA,33343,24773
MUGU,45027,33455
HUMLA,28642,21281
JUMLA,72530,53889
KALIKOT,30732,22833
MW.MOUNTAIN,210274,156231
RUKUM,28883,21460
ROLPA,15687,11655
PYUTHAN,14667,10897
SALYAN,17764,13198
JAJARKOT,24675,18333
DAILEKH,14774,10977
SURKHET,11608,8624
MW.HILLS,128058,95144
DANG,34091,25329
BANKE,11609,8625
BARDIYA,13025,9677
MW.TERAI,58725,43631
MW.REGION,397057,295006
BAJURA,19672,14616
BAJHANG,26452,19653
DARCHULA,22861,16985
FW.MOUNTAIN,68985,51254
ACHHAM,3085,2400
DOTI,662,491
BAITADI,304,225
DADELDHURA,315,234
FW.HILLS,4366,3350
KAILALI,21267,15801
KANCHANPUR,7953,5909
FW.TERAI,29220,21710
FW.REGION,102571,76314
NEPAL,800658,588348
